24.21,24.21,28.78,45.50,36.78
27.63,27.63,34.86,72.92,46.28
33.82,33.82,46.67,73.81,52.68
38.13,38.13,51.51,78.67,53.45
42.82,42.82,67.68,79.62,53.24
52.80,52.80,72.78,74.42,50.47
61.10,61.10,57.71,70.50,50.73
67.61,67.61,57.27,68.65,49.60
75.54,75.54,45.84,68.35,46.55
70.48,70.48,43.58,67.78,50.67
74.05,74.05,37.17,63.83,51.33
73.46,73.46,38.85,59.44,53.09
70.54,70.54,38.14,52.23,55.84
72.64,72.64,35.41,59.42,55.93
74.66,74.66,43.05,56.43,57.18
70.85,70.85,36.95,63.84,59.31
73.76,73.76,34.06,64.82,57.50
68.47,68.47,28.44,67.28,57.00
70.68,70.68,30.41,69.87,51.74
72.56,72.56,27.04,71.76,51.82
70.44,70.44,29.45,68.20,51.67
69.53,69.53,28.91,70.22,52.69
70.98,70.98,29.51,71.88,53.78
71.94,71.94,30.15,72.33,52.75
72.41,72.41,30.74,73.41,50.76
71.67,71.67,31.85,74.29,50.72
71.59,71.59,33.29,74.69,48.43
70.51,70.51,35.20,74.26,47.18
70.39,70.39,33.58,71.69,47.80
72.33,72.33,37.62,74.22,51.00
72.34,72.34,42.96,75.14,47.45
71.40,71.40,42.14,71.43,47.58
72.04,72.04,46.06,75.04,48.19
71.62,71.62,45.97,73.34,51.14
72.57,72.57,46.69,74.89,51.30
72.07,72.07,44.82,74.23,50.96
69.95,69.95,45.52,75.95,50.99
71.92,71.92,42.92,74.10,54.04
71.42,71.42,43.43,76.74,54.98
70.84,70.84,40.92,74.44,56.94
71.26,71.26,39.65,74.46,59.08
70.43,70.43,40.58,76.71,60.73
71.42,71.42,39.88,74.68,58.78
69.97,69.97,37.31,73.85,57.10
72.34,72.34,37.96,76.17,60.15
72.38,72.38,36.52,75.17,58.94
71.05,71.05,37.09,74.05,58.49
69.49,69.49,36.69,74.73,56.81
71.70,71.70,37.91,76.22,57.15
72.14,72.14,38.52,74.42,56.44
71.99,71.99,36.61,74.60,55.98
71.88,71.88,36.81,76.74,56.04
69.56,69.56,37.17,74.67,57.65
70.20,70.20,36.91,74.42,60.08
69.73,69.73,36.41,76.47,59.80
69.55,69.55,37.22,75.01,61.11
69.98,69.98,37.22,73.77,61.59
69.83,69.83,37.24,75.38,61.51
70.21,70.21,36.30,75.94,62.45
70.88,70.88,37.42,73.93,63.68
70.28,70.28,37.85,74.23,62.41
69.84,69.84,38.84,76.08,63.44
71.15,71.15,38.11,73.75,62.36
70.05,70.05,38.21,74.68,62.65
