-0.00,-0.00,1.01,-0.00,-0.00
0.94,0.94,2.06,-0.00,0.85
2.10,2.10,3.51,-0.00,1.19
3.02,3.02,4.69,-0.00,1.51
2.14,2.14,4.16,0.00,1.26
1.88,1.88,3.70,-0.00,0.82
1.75,1.75,3.79,-0.00,0.68
2.08,2.08,4.14,-0.00,0.98
4.88,4.88,7.81,-0.00,1.66
2.39,2.39,5.16,-0.00,1.07
2.75,2.75,5.53,-0.00,2.24
4.38,4.38,7.50,-0.00,2.40
3.37,3.37,6.07,-0.00,2.22
4.15,4.15,8.02,-0.00,3.09
3.86,3.86,7.55,-0.00,2.67
3.82,3.82,8.19,-0.00,1.72
3.16,3.16,7.24,-0.00,1.97
2.20,2.20,6.82,-0.00,2.24
2.20,2.20,5.72,-0.00,1.50
1.30,1.30,5.37,-0.00,1.80
2.21,2.21,6.61,-0.00,2.46
1.53,1.53,6.07,-0.00,2.84
1.92,1.92,6.46,-0.00,2.40
3.75,3.75,7.53,-0.00,3.31
3.37,3.37,7.60,-0.00,3.37
1.91,1.91,6.78,-0.00,3.33
2.21,2.21,6.86,-0.00,2.85
1.76,1.76,6.56,-0.00,2.66
1.96,1.96,5.78,-0.00,2.18
1.47,1.47,6.18,-0.00,2.32
1.98,1.98,4.77,-0.00,1.57
2.32,2.32,6.26,-0.00,2.32
1.66,1.66,4.97,-0.00,2.72
2.03,2.03,5.21,-0.00,2.74
1.60,1.60,4.47,-0.00,2.52
1.69,1.69,5.13,-0.00,3.76
1.67,1.67,5.27,-0.00,4.78
2.57,2.57,6.94,-0.00,7.04
5.62,5.62,12.20,0.86,11.34
13.23,13.23,22.34,7.57,23.60
28.73,28.73,40.78,19.83,42.10
35.24,35.24,44.86,22.68,49.14
40.78,40.78,41.89,22.88,46.55
45.18,45.18,36.40,24.79,43.50
49.55,49.55,30.45,30.08,38.10
61.39,61.39,31.87,26.68,37.71
65.34,65.34,28.21,23.83,36.06
67.95,67.95,25.72,24.56,37.25
68.02,68.02,28.80,31.06,40.73
68.64,68.64,33.92,31.21,49.79
69.19,69.19,43.46,38.19,49.59
69.70,69.70,50.35,37.58,53.53
70.16,70.16,55.96,34.63,51.73
69.04,69.04,56.83,37.57,50.37
57.39,57.39,45.13,38.37,54.47
49.10,49.10,41.09,27.20,41.30
47.87,47.87,37.70,26.29,43.30
49.54,49.54,38.93,27.04,46.18
47.92,47.92,36.21,26.51,43.70
44.60,44.60,30.26,24.17,37.08
46.11,46.11,27.79,27.36,39.71
59.23,59.23,32.14,27.95,49.26
63.00,63.00,29.66,23.53,45.60
63.86,63.86,29.57,21.68,46.51
65.25,65.25,32.21,22.00,49.16
68.43,68.43,35.94,25.40,47.90
69.92,69.92,40.34,29.27,49.19
69.71,69.71,47.73,33.78,51.52
70.79,70.79,50.65,32.68,52.74
67.70,67.70,53.72,32.95,52.03
61.26,61.26,47.95,38.67,49.22
51.56,51.56,38.42,32.59,46.09
46.72,46.72,35.95,27.58,43.80
48.17,48.17,35.87,21.01,43.34
48.13,48.13,35.86,18.63,42.75
43.67,43.67,33.15,24.40,40.03
42.28,42.28,33.59,26.88,40.06
51.92,51.92,30.35,30.77,43.31
59.25,59.25,30.72,29.32,48.88
63.60,63.60,26.00,21.15,46.34
64.17,64.17,28.99,18.34,46.66
65.95,65.95,30.41,17.55,47.55
65.99,65.99,35.26,21.40,46.74
66.21,66.21,45.16,22.70,47.77
66.34,66.34,54.48,29.75,48.58
68.36,68.36,58.15,35.67,48.90
65.18,65.18,58.78,34.28,49.17
52.00,52.00,45.52,30.40,43.50
35.28,35.28,31.35,17.02,30.85
34.47,34.47,31.19,19.76,32.54
35.02,35.02,30.40,24.06,34.70
36.15,36.15,25.92,21.97,31.37
37.71,37.71,20.67,26.13,31.42
46.49,46.49,26.97,25.96,36.15
59.23,59.23,34.93,26.02,44.11
62.44,62.44,33.31,21.64,43.81
62.22,62.22,30.41,16.55,44.30
64.18,64.18,35.20,21.98,46.56
67.36,67.36,41.68,26.15,47.23
68.88,68.88,51.79,28.23,47.25
68.96,68.96,56.78,28.02,47.53
66.16,66.16,61.08,29.32,46.30
57.16,57.16,51.63,36.02,44.09
41.83,41.83,37.71,20.44,36.93
37.08,37.08,31.90,18.09,31.29
37.10,37.10,32.56,24.12,34.80
33.67,33.67,35.37,27.31,36.12
33.20,33.20,29.53,22.88,32.56
34.55,34.55,22.46,17.22,31.67
38.88,38.88,25.10,16.46,31.42
48.98,48.98,29.36,20.12,37.03
59.79,59.79,28.37,21.44,41.95
60.47,60.47,28.52,17.88,42.94
63.55,63.55,30.62,16.17,46.46
64.99,64.99,39.87,23.37,45.70
66.08,66.08,51.07,21.93,43.90
64.99,64.99,57.91,30.14,44.36
64.50,64.50,62.05,32.79,45.73
56.79,56.79,59.00,36.59,44.21
42.18,42.18,39.96,25.69,36.24
37.88,37.88,31.22,19.91,29.26
36.76,36.76,30.23,18.87,27.56
34.64,34.64,34.49,24.65,32.31
30.30,30.30,31.93,23.99,30.99
28.94,28.94,28.09,20.96,29.55
32.80,32.80,18.88,15.41,30.38
46.89,46.89,25.16,19.71,41.48
56.92,56.92,26.29,17.50,42.67
